eeid,project_id,skill_match,tenure_score,availability_score,weighted_score,outcome_label
E00884,PRJ-020,0.0,1.0,0.5,0.4,0
E00884,PRJ-018,0.0,1.0,0.5,0.4,1
E04116,PRJ-012,0.0,1.0,0.5,0.4,0
E04116,PRJ-003,0.75,1.0,0.5,0.775,1
E04116,PRJ-004,0.0,1.0,0.5,0.4,0
E04116,PRJ-013,0.0,1.0,0.5,0.4,0
E04625,PRJ-013,0.0,1.0,0.0,0.3,1
E04625,PRJ-015,0.0,1.0,0.0,0.3,1
E04625,PRJ-020,0.0,1.0,0.0,0.3,1
E04625,PRJ-003,0.0,1.0,0.0,0.3,0
E03680,PRJ-016,0.0,1.0,0.0,0.3,0
E03680,PRJ-012,0.0,1.0,0.0,0.3,1
E03680,PRJ-005,0.0,1.0,0.0,0.3,0
E03680,PRJ-018,0.25,1.0,0.0,0.425,1
E04732,PRJ-007,0.0,0.5,1.0,0.35,0
E04732,PRJ-001,0.0,0.5,1.0,0.35,1
E04732,PRJ-009,0.0,0.5,1.0,0.35,0
E04732,PRJ-020,0.0,0.5,1.0,0.35,1
E03484,PRJ-015,0.0,1.0,1.0,0.5,1
E03484,PRJ-019,0.0,1.0,1.0,0.5,1
E03484,PRJ-017,0.0,1.0,1.0,0.5,0
E03484,PRJ-014,0.6667,1.0,1.0,0.8333,1
E00671,PRJ-005,0.0,0.7,0.0,0.21,1
E00671,PRJ-006,0.0,0.7,0.0,0.21,0
E00671,PRJ-020,0.0,0.7,0.0,0.21,0
E00671,PRJ-016,0.0,0.7,0.0,0.21,0
E02071,PRJ-002,0.0,1.0,0.0,0.3,0
E02071,PRJ-008,0.6667,1.0,0.0,0.6333,1
E02071,PRJ-007,0.0,1.0,0.0,0.3,1
E02071,PRJ-009,0.25,1.0,0.0,0.425,0
E02206,PRJ-020,0.0,1.0,1.0,0.5,0
E02206,PRJ-017,0.3333,1.0,1.0,0.6667,0
E02206,PRJ-007,0.0,1.0,1.0,0.5,0
E02206,PRJ-009,0.0,1.0,1.0,0.5,0
E04545,PRJ-018,0.0,1.0,0.5,0.4,0
E04545,PRJ-007,0.75,1.0,0.5,0.775,1
E04545,PRJ-015,0.25,1.0,0.5,0.525,1
E04545,PRJ-005,0.0,1.0,0.5,0.4,1
E00154,PRJ-005,0.0,1.0,0.0,0.3,1
E00154,PRJ-012,0.5,1.0,0.0,0.55,0
E00154,PRJ-020,0.0,1.0,0.0,0.3,0
E00154,PRJ-009,0.0,1.0,0.0,0.3,0
E03343,PRJ-006,0.5,1.0,1.0,0.75,1
E03343,PRJ-014,0.0,1.0,1.0,0.5,0
E03343,PRJ-017,0.0,1.0,1.0,0.5,1
E03343,PRJ-013,0.0,1.0,1.0,0.5,1
E00304,PRJ-011,0.0,1.0,1.0,0.5,0
E00304,PRJ-017,0.6667,1.0,1.0,0.8333,1
E00304,PRJ-010,0.0,1.0,1.0,0.5,1
E00304,PRJ-019,0.0,1.0,1.0,0.5,0
E02594,PRJ-006,0.0,0.9,1.0,0.47,0
E02594,PRJ-009,0.0,0.9,1.0,0.47,0
E02594,PRJ-005,0.0,0.9,1.0,0.47,0
E02594,PRJ-014,0.6667,0.9,1.0,0.8033,1
E00402,PRJ-009,0.0,1.0,0.5,0.4,1
E00402,PRJ-002,0.0,1.0,0.5,0.4,1
E00402,PRJ-006,0.0,1.0,0.5,0.4,1
E00402,PRJ-014,0.0,1.0,0.5,0.4,1
E01994,PRJ-004,0.0,1.0,0.0,0.3,0
E01994,PRJ-015,0.0,1.0,0.0,0.3,0
E01994,PRJ-001,0.0,1.0,0.0,0.3,0
E01994,PRJ-011,0.0,1.0,0.0,0.3,0
E03549,PRJ-009,0.0,1.0,1.0,0.5,1
E03549,PRJ-002,0.0,1.0,1.0,0.5,1
E03549,PRJ-006,0.25,1.0,1.0,0.625,1
E03549,PRJ-007,0.0,1.0,1.0,0.5,0
E03247,PRJ-009,0.5,0.8,0.0,0.49,1
E03247,PRJ-002,0.25,0.8,0.0,0.365,0
E03247,PRJ-001,0.25,0.8,0.0,0.365,0
E03247,PRJ-018,0.5,0.8,0.0,0.49,1
E02074,PRJ-016,0.0,1.0,1.0,0.5,1
E02074,PRJ-018,0.75,1.0,1.0,0.875,1
E02074,PRJ-013,0.0,1.0,1.0,0.5,1
E02074,PRJ-017,0.0,1.0,1.0,0.5,0
E04152,PRJ-002,0.25,0.7,1.0,0.535,0
E04152,PRJ-005,0.25,0.7,1.0,0.535,1
E04152,PRJ-001,0.5,0.7,1.0,0.66,1
E04152,PRJ-003,0.5,0.7,1.0,0.66,0
E01628,PRJ-020,0.0,0.7,0.5,0.31,0
E01628,PRJ-008,0.0,0.7,0.5,0.31,1
E01628,PRJ-010,0.3333,0.7,0.5,0.4767,1
E01628,PRJ-002,0.0,0.7,0.5,0.31,0
E04285,PRJ-010,0.0,1.0,0.5,0.4,1
E04285,PRJ-007,0.25,1.0,0.5,0.525,1
E04285,PRJ-012,0.25,1.0,0.5,0.525,1
E04285,PRJ-006,0.0,1.0,0.5,0.4,1
E01417,PRJ-003,0.5,1.0,0.5,0.65,0
E01417,PRJ-005,0.0,1.0,0.5,0.4,1
E01417,PRJ-013,0.0,1.0,0.5,0.4,1
E01417,PRJ-002,0.0,1.0,0.5,0.4,0
E01754,PRJ-020,0.0,0.9,0.0,0.27,0
E01754,PRJ-013,0.0,0.9,0.0,0.27,1
E01754,PRJ-011,0.0,0.9,0.0,0.27,0
E01754,PRJ-016,0.0,0.9,0.0,0.27,0
E03749,PRJ-017,0.0,1.0,0.0,0.3,1
E03749,PRJ-005,0.0,1.0,0.0,0.3,0
E03749,PRJ-020,0.0,1.0,0.0,0.3,0
E03749,PRJ-018,0.0,1.0,0.0,0.3,0
E03574,PRJ-003,0.75,1.0,0.5,0.775,1
E03574,PRJ-001,0.5,1.0,0.5,0.65,0
E03574,PRJ-002,0.25,1.0,0.5,0.525,1
E03574,PRJ-005,0.25,1.0,0.5,0.525,1
E04600,PRJ-009,0.0,1.0,1.0,0.5,0
E04600,PRJ-001,0.0,1.0,1.0,0.5,0
E04600,PRJ-015,0.0,1.0,1.0,0.5,1
E04600,PRJ-003,0.0,1.0,1.0,0.5,1
E00586,PRJ-009,0.0,0.7,1.0,0.41,0
E00586,PRJ-008,0.0,0.7,1.0,0.41,0
E00586,PRJ-007,0.0,0.7,1.0,0.41,0
E00586,PRJ-019,0.3333,0.7,1.0,0.5767,0
E03538,PRJ-007,0.0,1.0,1.0,0.5,1
E03538,PRJ-003,0.75,1.0,1.0,0.875,1
E03538,PRJ-005,0.0,1.0,1.0,0.5,1
E03538,PRJ-011,0.0,1.0,1.0,0.5,0
E02185,PRJ-007,0.25,1.0,0.0,0.425,0
E02185,PRJ-016,0.25,1.0,0.0,0.425,0
E02185,PRJ-010,0.3333,1.0,0.0,0.4667,1
E02185,PRJ-017,0.0,1.0,0.0,0.3,0
E03830,PRJ-010,0.0,1.0,0.0,0.3,1
E03830,PRJ-015,0.0,1.0,0.0,0.3,1
E03830,PRJ-003,0.5,1.0,0.0,0.55,1
E03830,PRJ-017,0.6667,1.0,0.0,0.6333,1
E03720,PRJ-017,0.0,1.0,0.5,0.4,0
E03720,PRJ-009,0.0,1.0,0.5,0.4,1
E03720,PRJ-012,0.5,1.0,0.5,0.65,0
E03720,PRJ-005,0.0,1.0,0.5,0.4,1
E03025,PRJ-006,0.25,1.0,1.0,0.625,1
E03025,PRJ-001,0.25,1.0,1.0,0.625,1
E03025,PRJ-016,0.25,1.0,1.0,0.625,1
E03025,PRJ-015,0.0,1.0,1.0,0.5,1
E04917,PRJ-013,0.0,1.0,1.0,0.5,1
E04917,PRJ-004,0.0,1.0,1.0,0.5,1
E04917,PRJ-007,0.0,1.0,1.0,0.5,1
E04917,PRJ-001,0.25,1.0,1.0,0.625,1
E00415,PRJ-009,0.0,0.5,0.0,0.15,0
E00415,PRJ-002,0.0,0.5,0.0,0.15,1
E00415,PRJ-020,0.0,0.5,0.0,0.15,0
E00415,PRJ-004,0.25,0.5,0.0,0.275,0
E02862,PRJ-014,1.0,0.5,0.5,0.75,1
E02862,PRJ-001,0.0,0.5,0.5,0.25,0
E02862,PRJ-013,0.0,0.5,0.5,0.25,0
E02862,PRJ-007,0.0,0.5,0.5,0.25,0
E04207,PRJ-018,0.0,1.0,1.0,0.5,1
E04207,PRJ-005,0.0,1.0,1.0,0.5,0
E04207,PRJ-006,0.0,1.0,1.0,0.5,1
E04207,PRJ-016,0.0,1.0,1.0,0.5,0
E02139,PRJ-013,0.3333,1.0,0.0,0.4667,0
E02139,PRJ-004,0.0,1.0,0.0,0.3,0
E02139,PRJ-006,0.0,1.0,0.0,0.3,0
E02139,PRJ-018,0.0,1.0,0.0,0.3,0
E01797,PRJ-018,0.25,0.8,1.0,0.565,1
E01797,PRJ-007,0.25,0.8,1.0,0.565,1
E01797,PRJ-008,0.0,0.8,1.0,0.44,1
E01797,PRJ-003,0.0,0.8,1.0,0.44,0
E01839,PRJ-013,0.0,1.0,0.0,0.3,1
E01839,PRJ-014,0.3333,1.0,0.0,0.4667,1
E01839,PRJ-017,0.0,1.0,0.0,0.3,0
E01839,PRJ-007,0.25,1.0,0.0,0.425,0
E01633,PRJ-007,0.25,1.0,1.0,0.625,1
E01633,PRJ-003,0.5,1.0,1.0,0.75,1
E01633,PRJ-009,0.25,1.0,1.0,0.625,1
E01633,PRJ-008,0.0,1.0,1.0,0.5,0
E01848,PRJ-016,0.25,1.0,1.0,0.625,1
E01848,PRJ-019,0.0,1.0,1.0,0.5,1
E01848,PRJ-020,0.0,1.0,1.0,0.5,0
E01848,PRJ-001,0.0,1.0,1.0,0.5,1
E00716,PRJ-005,0.0,0.5,1.0,0.35,1
E00716,PRJ-017,0.0,0.5,1.0,0.35,1
E00716,PRJ-004,0.0,0.5,1.0,0.35,0
E00716,PRJ-015,0.0,0.5,1.0,0.35,0
E00699,PRJ-009,0.0,1.0,1.0,0.5,0
E00699,PRJ-017,0.0,1.0,1.0,0.5,1
E00699,PRJ-014,0.3333,1.0,1.0,0.6667,1
E00699,PRJ-004,0.0,1.0,1.0,0.5,1
E00502,PRJ-015,0.0,0.7,1.0,0.41,1
E00502,PRJ-009,0.0,0.7,1.0,0.41,0
E00502,PRJ-011,0.3333,0.7,1.0,0.5767,1
E00502,PRJ-008,0.3333,0.7,1.0,0.5767,0
E04000,PRJ-014,0.3333,1.0,0.0,0.4667,1
E04000,PRJ-003,0.25,1.0,0.0,0.425,1
E04000,PRJ-009,0.0,1.0,0.0,0.3,0
E04000,PRJ-008,0.0,1.0,0.0,0.3,1
E02112,PRJ-010,0.3333,1.0,1.0,0.6667,0
E02112,PRJ-017,0.0,1.0,1.0,0.5,1
E02112,PRJ-003,0.0,1.0,1.0,0.5,0
E02112,PRJ-007,0.0,1.0,1.0,0.5,1
E03824,PRJ-020,0.3333,0.5,0.0,0.3167,0
E03824,PRJ-016,0.0,0.5,0.0,0.15,0
E03824,PRJ-006,0.25,0.5,0.0,0.275,1
E03824,PRJ-008,0.0,0.5,0.0,0.15,0
E03906,PRJ-014,0.0,1.0,1.0,0.5,0
E03906,PRJ-002,0.0,1.0,1.0,0.5,0
E03906,PRJ-019,0.0,1.0,1.0,0.5,1
E03906,PRJ-006,0.0,1.0,1.0,0.5,1
E00436,PRJ-017,0.0,1.0,0.0,0.3,0
E00436,PRJ-015,0.25,1.0,0.0,0.425,0
E00436,PRJ-002,0.25,1.0,0.0,0.425,1
E00436,PRJ-010,0.3333,1.0,0.0,0.4667,1
E04798,PRJ-004,0.0,1.0,1.0,0.5,0
E04798,PRJ-018,0.25,1.0,1.0,0.625,1
E04798,PRJ-007,0.0,1.0,1.0,0.5,1
E04798,PRJ-013,1.0,1.0,1.0,1.0,1
E01249,PRJ-007,0.0,1.0,0.5,0.4,0
E01249,PRJ-011,0.3333,1.0,0.5,0.5667,0
E01249,PRJ-012,0.0,1.0,0.5,0.4,1
E01249,PRJ-016,0.25,1.0,0.5,0.525,0
E03349,PRJ-009,0.0,0.6,0.0,0.18,0
E03349,PRJ-007,0.0,0.6,0.0,0.18,1
E03349,PRJ-003,0.25,0.6,0.0,0.305,0
E03349,PRJ-011,0.6667,0.6,0.0,0.5133,0
E02966,PRJ-020,0.3333,1.0,0.0,0.4667,1
E02966,PRJ-003,0.0,1.0,0.0,0.3,0
E02966,PRJ-001,0.25,1.0,0.0,0.425,0
E02966,PRJ-008,0.0,1.0,0.0,0.3,0
E01499,PRJ-016,0.25,0.7,1.0,0.535,1
E01499,PRJ-006,0.25,0.7,1.0,0.535,0
E01499,PRJ-001,0.75,0.7,1.0,0.785,0
E01499,PRJ-010,0.0,0.7,1.0,0.41,1
E00105,PRJ-007,0.0,0.5,0.0,0.15,0
E00105,PRJ-013,0.3333,0.5,0.0,0.3167,0
E00105,PRJ-006,0.0,0.5,0.0,0.15,1
E00105,PRJ-008,0.3333,0.5,0.0,0.3167,1
E00665,PRJ-020,0.0,1.0,0.5,0.4,0
E00665,PRJ-003,0.25,1.0,0.5,0.525,1
E00665,PRJ-007,0.0,1.0,0.5,0.4,0
E00665,PRJ-004,0.0,1.0,0.5,0.4,1
E00791,PRJ-018,0.0,1.0,0.0,0.3,1
E00791,PRJ-004,0.25,1.0,0.0,0.425,1
E00791,PRJ-010,0.3333,1.0,0.0,0.4667,1
E00791,PRJ-020,0.0,1.0,0.0,0.3,1
E01540,PRJ-019,0.0,1.0,0.5,0.4,0
E01540,PRJ-007,0.25,1.0,0.5,0.525,1
E01540,PRJ-011,0.0,1.0,0.5,0.4,0
E01540,PRJ-003,0.5,1.0,0.5,0.65,1
E04474,PRJ-016,0.0,0.9,1.0,0.47,1
E04474,PRJ-008,0.0,0.9,1.0,0.47,1
E04474,PRJ-015,0.25,0.9,1.0,0.595,0
E04474,PRJ-012,0.25,0.9,1.0,0.595,1
E03417,PRJ-006,0.0,1.0,0.5,0.4,0
E03417,PRJ-015,0.0,1.0,0.5,0.4,1
E03417,PRJ-009,0.0,1.0,0.5,0.4,1
E03417,PRJ-001,0.0,1.0,0.5,0.4,1
E00254,PRJ-020,0.0,1.0,0.5,0.4,0
E00254,PRJ-007,0.25,1.0,0.5,0.525,1
E00254,PRJ-001,0.0,1.0,0.5,0.4,1
E00254,PRJ-011,0.3333,1.0,0.5,0.5667,1
E02166,PRJ-013,0.3333,1.0,1.0,0.6667,1
E02166,PRJ-018,0.0,1.0,1.0,0.5,0
E02166,PRJ-005,0.0,1.0,1.0,0.5,1
E02166,PRJ-003,0.0,1.0,1.0,0.5,0
E00935,PRJ-012,0.0,1.0,1.0,0.5,1
E00935,PRJ-014,0.3333,1.0,1.0,0.6667,1
E00935,PRJ-019,0.0,1.0,1.0,0.5,1
E00935,PRJ-001,0.0,1.0,1.0,0.5,0
E01525,PRJ-014,1.0,1.0,0.5,0.9,1
E01525,PRJ-004,0.25,1.0,0.5,0.525,1
E01525,PRJ-003,1.0,1.0,0.5,0.9,1
E01525,PRJ-013,0.0,1.0,0.5,0.4,1
E00386,PRJ-019,0.0,1.0,0.0,0.3,0
E00386,PRJ-012,0.5,1.0,0.0,0.55,0
E00386,PRJ-017,0.0,1.0,0.0,0.3,0
E00386,PRJ-006,0.0,1.0,0.0,0.3,0
E00416,PRJ-007,0.75,1.0,0.0,0.675,1
E00416,PRJ-010,0.0,1.0,0.0,0.3,0
E00416,PRJ-005,0.0,1.0,0.0,0.3,0
E00416,PRJ-002,0.0,1.0,0.0,0.3,0
E03383,PRJ-006,0.0,0.6,1.0,0.38,1
E03383,PRJ-008,0.3333,0.6,1.0,0.5467,1
E03383,PRJ-013,0.3333,0.6,1.0,0.5467,1
E03383,PRJ-007,0.0,0.6,1.0,0.38,1
E01516,PRJ-007,0.0,1.0,0.0,0.3,0
E01516,PRJ-002,0.0,1.0,0.0,0.3,0
E01516,PRJ-018,0.0,1.0,0.0,0.3,0
E01516,PRJ-019,0.3333,1.0,0.0,0.4667,0
E01234,PRJ-008,0.0,1.0,0.0,0.3,1
E01234,PRJ-014,0.3333,1.0,0.0,0.4667,0
E01234,PRJ-013,0.0,1.0,0.0,0.3,0
E01234,PRJ-012,0.0,1.0,0.0,0.3,0
E03440,PRJ-015,0.0,1.0,0.5,0.4,1
E03440,PRJ-006,0.0,1.0,0.5,0.4,1
E03440,PRJ-016,0.0,1.0,0.5,0.4,1
E03440,PRJ-013,0.0,1.0,0.5,0.4,0
E00431,PRJ-003,0.5,0.7,0.5,0.56,1
E00431,PRJ-011,0.0,0.7,0.5,0.31,0
E00431,PRJ-017,0.0,0.7,0.5,0.31,0
E00431,PRJ-020,0.3333,0.7,0.5,0.4767,0
E01258,PRJ-004,0.0,0.8,0.5,0.34,0
E01258,PRJ-007,0.0,0.8,0.5,0.34,0
E01258,PRJ-005,0.0,0.8,0.5,0.34,0
E01258,PRJ-016,0.0,0.8,0.5,0.34,0
E00440,PRJ-009,0.0,0.8,0.0,0.24,1
E00440,PRJ-006,0.25,0.8,0.0,0.365,0
E00440,PRJ-011,0.3333,0.8,0.0,0.4067,0
E00440,PRJ-020,0.0,0.8,0.0,0.24,1
E00595,PRJ-012,0.0,0.8,0.5,0.34,0
E00595,PRJ-002,0.0,0.8,0.5,0.34,1
E00595,PRJ-007,0.0,0.8,0.5,0.34,0
E00595,PRJ-006,0.0,0.8,0.5,0.34,0
E00972,PRJ-002,0.0,0.7,0.0,0.21,0
E00972,PRJ-012,0.0,0.7,0.0,0.21,0
E00972,PRJ-015,0.0,0.7,0.0,0.21,0
E00972,PRJ-017,0.0,0.7,0.0,0.21,0
E04562,PRJ-012,0.0,0.9,0.5,0.37,1
E04562,PRJ-019,0.3333,0.9,0.5,0.5367,0
E04562,PRJ-005,0.0,0.9,0.5,0.37,0
E04562,PRJ-020,0.0,0.9,0.5,0.37,1
E02802,PRJ-019,0.3333,1.0,0.0,0.4667,0
E02802,PRJ-011,0.0,1.0,0.0,0.3,1
E02802,PRJ-001,0.0,1.0,0.0,0.3,0
E02802,PRJ-002,0.0,1.0,0.0,0.3,0
E01427,PRJ-002,0.0,1.0,0.0,0.3,0
E01427,PRJ-001,0.25,1.0,0.0,0.425,0
E01427,PRJ-020,0.0,1.0,0.0,0.3,1
E01427,PRJ-019,0.0,1.0,0.0,0.3,0
E04568,PRJ-016,0.0,1.0,0.5,0.4,1
E04568,PRJ-006,0.0,1.0,0.5,0.4,1
E04568,PRJ-005,0.0,1.0,0.5,0.4,0
E04568,PRJ-001,0.0,1.0,0.5,0.4,0
E04931,PRJ-009,0.0,0.5,0.0,0.15,0
E04931,PRJ-001,0.0,0.5,0.0,0.15,0
E04931,PRJ-002,0.0,0.5,0.0,0.15,1
E04931,PRJ-012,0.0,0.5,0.0,0.15,1
E00443,PRJ-001,0.25,0.6,0.0,0.305,1
E00443,PRJ-013,0.0,0.6,0.0,0.18,0
E00443,PRJ-006,0.0,0.6,0.0,0.18,0
E00443,PRJ-008,0.0,0.6,0.0,0.18,0
E03890,PRJ-017,0.0,0.6,1.0,0.38,1
E03890,PRJ-014,0.6667,0.6,1.0,0.7133,0
E03890,PRJ-006,0.0,0.6,1.0,0.38,1
E03890,PRJ-020,0.0,0.6,1.0,0.38,0
E01194,PRJ-015,0.0,1.0,1.0,0.5,1
E01194,PRJ-003,0.0,1.0,1.0,0.5,1
E01194,PRJ-020,0.3333,1.0,1.0,0.6667,0
E01194,PRJ-006,0.0,1.0,1.0,0.5,0
E02875,PRJ-002,0.0,1.0,0.5,0.4,0
E02875,PRJ-009,0.0,1.0,0.5,0.4,0
E02875,PRJ-018,0.5,1.0,0.5,0.65,1
E02875,PRJ-014,0.0,1.0,0.5,0.4,0
E04959,PRJ-006,0.0,1.0,1.0,0.5,1
E04959,PRJ-009,0.0,1.0,1.0,0.5,0
E04959,PRJ-008,0.0,1.0,1.0,0.5,0
E04959,PRJ-007,0.25,1.0,1.0,0.625,1
E03816,PRJ-018,0.25,0.5,0.0,0.275,0
E03816,PRJ-016,0.25,0.5,0.0,0.275,0
E03816,PRJ-019,0.3333,0.5,0.0,0.3167,0
E03816,PRJ-017,0.0,0.5,0.0,0.15,0
E01261,PRJ-003,0.0,1.0,1.0,0.5,0
E01261,PRJ-019,0.0,1.0,1.0,0.5,1
E01261,PRJ-006,0.0,1.0,1.0,0.5,1
E01261,PRJ-005,0.0,1.0,1.0,0.5,1
E03612,PRJ-002,0.0,1.0,0.5,0.4,1
E03612,PRJ-003,0.0,1.0,0.5,0.4,0
E03612,PRJ-020,0.0,1.0,0.5,0.4,0
E03612,PRJ-019,0.0,1.0,0.5,0.4,0
E01388,PRJ-013,0.0,1.0,1.0,0.5,0
E01388,PRJ-004,0.0,1.0,1.0,0.5,0
E01388,PRJ-008,0.0,1.0,1.0,0.5,0
E01388,PRJ-007,0.25,1.0,1.0,0.625,0
E03875,PRJ-016,0.25,1.0,0.5,0.525,1
E03875,PRJ-004,0.25,1.0,0.5,0.525,0
E03875,PRJ-005,0.25,1.0,0.5,0.525,0
E03875,PRJ-019,0.3333,1.0,0.5,0.5667,1
E04413,PRJ-012,0.25,1.0,0.0,0.425,1
E04413,PRJ-011,0.0,1.0,0.0,0.3,0
E04413,PRJ-017,0.0,1.0,0.0,0.3,0
E04413,PRJ-016,0.0,1.0,0.0,0.3,0
E00691,PRJ-018,0.75,1.0,0.0,0.675,1
E00691,PRJ-019,0.3333,1.0,0.0,0.4667,0
E00691,PRJ-007,0.0,1.0,0.0,0.3,1
E00691,PRJ-003,0.5,1.0,0.0,0.55,1
E03047,PRJ-004,0.0,1.0,0.0,0.3,0
E03047,PRJ-016,0.0,1.0,0.0,0.3,0
E03047,PRJ-006,0.25,1.0,0.0,0.425,0
E03047,PRJ-019,0.0,1.0,0.0,0.3,1
E04903,PRJ-006,0.25,0.6,1.0,0.505,0
E04903,PRJ-004,0.0,0.6,1.0,0.38,0
E04903,PRJ-003,0.5,0.6,1.0,0.63,1
E04903,PRJ-016,0.0,0.6,1.0,0.38,0
E04735,PRJ-003,0.25,1.0,0.0,0.425,0
E04735,PRJ-014,0.6667,1.0,0.0,0.6333,1
E04735,PRJ-001,0.0,1.0,0.0,0.3,0
E04735,PRJ-012,0.0,1.0,0.0,0.3,1
E02850,PRJ-018,0.0,0.8,1.0,0.44,0
E02850,PRJ-002,0.0,0.8,1.0,0.44,0
E02850,PRJ-012,0.0,0.8,1.0,0.44,0
E02850,PRJ-011,0.0,0.8,1.0,0.44,1
E03583,PRJ-008,0.3333,0.7,0.5,0.4767,0
E03583,PRJ-005,0.0,0.7,0.5,0.31,0
E03583,PRJ-011,0.0,0.7,0.5,0.31,0
E03583,PRJ-015,0.0,0.7,0.5,0.31,0
E02017,PRJ-008,0.0,1.0,0.0,0.3,1
E02017,PRJ-011,0.0,1.0,0.0,0.3,0
E02017,PRJ-017,0.0,1.0,0.0,0.3,0
E02017,PRJ-012,0.0,1.0,0.0,0.3,1
E01642,PRJ-013,0.0,1.0,0.5,0.4,1
E01642,PRJ-005,0.0,1.0,0.5,0.4,0
E01642,PRJ-019,0.0,1.0,0.5,0.4,1
E01642,PRJ-010,0.0,1.0,0.5,0.4,1
E04379,PRJ-013,0.0,1.0,0.0,0.3,1
E04379,PRJ-014,0.3333,1.0,0.0,0.4667,1
E04379,PRJ-008,0.0,1.0,0.0,0.3,1
E04379,PRJ-017,0.0,1.0,0.0,0.3,0
E04131,PRJ-019,0.3333,0.5,0.5,0.4167,0
E04131,PRJ-020,0.3333,0.5,0.5,0.4167,0
E04131,PRJ-014,0.3333,0.5,0.5,0.4167,1
E04131,PRJ-008,0.3333,0.5,0.5,0.4167,1
