eeid,skill,years_experience
E04625,Account Management,1
E04625,Finance,9
E04625,Scrum,5
E04625,CRM,2
E04625,C++,3
E04625,Negotiation,5
E03680,DevOps,6
E03680,Marketing,4
E03680,AWS,5
E03680,Cybersecurity,9
E04732,HR Management,4
E04732,Negotiation,5
E04732,Account Management,4
E04732,CRM,5
E03484,Django,3
E03484,Power BI,1
E03484,AWS,5
E03484,Azure,6
E03484,Linux,1
E03484,Cybersecurity,6
E00671,Accounting,7
E00671,Sales,2
E00671,Account Management,4
E00671,CRM,1
E00671,Negotiation,2
E02071,Sales,8
E02071,Deep Learning,4
E02071,CRM,4
E02071,Negotiation,8
E02071,Cybersecurity,6
E02206,HR Management,7
E02206,Payroll,9
E02206,Java,6
E02206,Scrum,1
E02206,Recruiting,2
E04545,Backend Development,7
E04545,DevOps,1
E04545,CI/CD,9
E04545,Deep Learning,9
E04545,MongoDB,4
E04545,TensorFlow,6
E04545,Kubernetes,7
E00154,Node.js,5
E00154,Backend Development,9
E00154,FastAPI,3
E00154,TensorFlow,4
E00154,Data Engineering,7
E00154,JavaScript,7
E03343,FastAPI,10
E03343,Frontend Development,10
E03343,JavaScript,6
E00304,ETL,2
E00304,Agile,4
E00304,Scrum,5
E00304,AWS,4
E00304,Cybersecurity,4
E02594,SEO,7
E02594,DevOps,8
E02594,Kubernetes,7
E02594,Marketing,4
E02594,AWS,3
E02594,Linux,1
E02594,Cloud Architecture,2
E02594,Cybersecurity,7
E00402,Sales,9
E00402,Finance,10
E00402,C++,6
E00402,Financial Modeling,8
E00402,Excel,10
E01994,Account Management,5
E01994,Agile,8
E01994,REST API Design,2
E01994,CI/CD,5
E01994,CRM,4
E01994,Negotiation,5
E03549,TypeScript,7
E03549,Sales,6
E03549,Negotiation,9
E03549,CRM,8
E03247,Cloud Architecture,6
E03247,Financial Modeling,5
E03247,Python,7
E03247,Excel,7
E02074,Budgeting,8
E02074,AWS,3
E02074,Azure,10
E02074,Linux,9
E02074,Cloud Architecture,1
E02074,Cybersecurity,7
E04152,Python,4
E04152,Docker,3
E04152,SQL,3
E04152,Frontend Development,7
E04152,AWS,4
E04152,Linux,3
E04152,React,7
E01628,HR Management,1
E01628,Content Strategy,2
E01628,Marketing,2
E04285,DevOps,5
E04285,REST API Design,6
E04285,System Design,3
E04285,Azure,10
E04285,Linux,10
E04285,Cloud Architecture,2
E01417,Accounting,2
E01417,Network Administration,5
E01417,Azure,10
E01417,Linux,2
E01417,Cloud Architecture,10
E01417,Stakeholder Management,1
E01417,SQL,6
E01417,Cybersecurity,9
E01754,Django,3
E01754,Accounting,7
E01754,Recruiting,3
E01754,Network Administration,9
E01754,Employee Relations,5
E03749,Django,4
E03749,Content Strategy,8
E03749,Data Analysis,10
E03749,Marketing,10
E03749,Network Administration,7
E03574,DevOps,4
E03574,Python,2
E03574,QA/Testing,4
E03574,AWS,7
E03574,Azure,8
E03574,Tableau,9
E03574,Cybersecurity,4
E04600,Node.js,9
E04600,ETL,6
E04600,Sales,6
E04600,Account Management,8
E04600,CRM,5
E04600,C++,5
E04600,Negotiation,5
E00586,HR Management,6
E00586,C#,2
E00586,Content Strategy,2
E00586,Marketing,2
E00586,Cloud Architecture,6
E03538,Linux,1
E03538,MongoDB,1
E03538,AWS,9
E03538,Cybersecurity,5
E02185,TensorFlow,5
E02185,DevOps,8
E02185,Azure,2
E02185,Cloud Architecture,2
E02185,Cybersecurity,7
E03830,Payroll,4
E03830,Agile,9
E03830,Scrum,7
E03830,AWS,8
E03830,Linux,8
E03830,Cloud Architecture,5
E03720,Power BI,2
E03720,SQL,3
E03720,Docker,1
E03025,Sales,10
E03025,Deep Learning,4
E03025,Employee Relations,7
E03025,Frontend Development,2
E03025,Linux,9
E03025,SQL,4
E04917,Payroll,5
E04917,Backend Development,8
E04917,Tableau,2
E04917,Finance,8
E04917,Employee Relations,5
E00415,SEO,5
E00415,Content Strategy,1
E00415,Data Analysis,3
E00415,Marketing,5
E00415,Power BI,1
E00415,Network Administration,2
E00415,Financial Modeling,4
E02862,FastAPI,4
E02862,Account Management,3
E02862,Network Administration,4
E02862,Azure,5
E02862,Linux,1
E02862,Cybersecurity,4
E04207,Go,7
E04207,SEO,1
E04207,Data Analysis,4
E04207,Marketing,9
E04207,Flask,6
E04207,Cybersecurity,10
E02139,Project Management,9
E02139,Python,7
E02139,Data Analysis,2
E02139,Agile,4
E02139,Tableau,2
E02139,Stakeholder Management,8
E02139,Excel,2
E01797,Backend Development,7
E01797,Azure,4
E01797,Power BI,3
E01797,CI/CD,2
E01797,TensorFlow,5
E01797,System Design,7
E01839,Node.js,8
E01839,Backend Development,6
E01839,Linux,4
E01839,Docker,4
E01839,Power BI,10
E01839,Recruiting,7
E01839,AWS,4
E01839,System Design,7
E01633,Python,10
E01633,DevOps,6
E01633,Frontend Development,2
E01633,AWS,8
E01633,Tableau,2
E01633,SQL,9
E01848,Payroll,9
E01848,NLP,7
E01848,Recruiting,6
E01848,Employee Relations,8
E01848,Data Engineering,9
E01848,Financial Modeling,1
E00716,Payroll,1
E00716,SEO,4
E00716,Content Strategy,2
E00716,Data Analysis,3
E00716,Marketing,1
E00699,FastAPI,4
E00699,DevOps,9
E00699,AWS,7
E00699,Cybersecurity,10
E00502,Project Management,4
E00502,Data Analysis,3
E00502,Agile,6
E00502,Linux,1
E00502,Stakeholder Management,7
E00502,Negotiation,4
E00502,Excel,3
E04000,Node.js,8
E04000,Docker,2
E04000,CI/CD,4
E04000,Frontend Development,7
E04000,Linux,10
E04000,React,6
E02112,HR Management,6
E02112,Payroll,4
E02112,Recruiting,4
E02112,Employee Relations,10
E02112,Excel,5
E03824,Power BI,3
E03824,Budgeting,2
E03824,Financial Modeling,1
E03906,Budgeting,8
E03906,Sales,5
E03906,Account Management,6
E03906,CRM,2
E03906,Cloud Architecture,8
E03906,Negotiation,2
E00436,HR Management,9
E00436,Payroll,2
E00436,Python,8
E00436,Linux,6
E00436,Recruiting,5
E00436,Employee Relations,10
E04798,Budgeting,5
E04798,SEO,7
E04798,Content Strategy,2
E04798,Data Analysis,3
E04798,Marketing,1
E04798,Flask,1
E04798,Cloud Architecture,5
E01249,Accounting,8
E01249,Network Administration,10
E01249,AWS,7
E01249,Azure,5
E01249,Cloud Architecture,1
E01249,Cybersecurity,6
E03349,Network Administration,3
E03349,QA/Testing,1
E03349,Azure,4
E03349,Stakeholder Management,3
E03349,Cybersecurity,2
E02966,Kubernetes,6
E02966,Python,4
E02966,Payroll,3
E01499,Budgeting,2
E01499,Accounting,2
E01499,Python,5
E01499,Finance,3
E01499,Financial Modeling,7
E01499,SQL,2
E00105,Project Management,3
E00105,Data Analysis,1
E00105,GCP,2
E00105,Machine Learning,4
E00105,Data Engineering,5
E00105,Stakeholder Management,1
E00665,Backend Development,10
E00665,Linux,1
E00665,Cloud Architecture,9
E00791,SEO,10
E00791,Content Strategy,3
E00791,Data Analysis,2
E00791,Marketing,3
E00791,Data Engineering,5
E01540,DevOps,4
E01540,Power BI,7
E01540,Recruiting,8
E01540,Azure,4
E01540,Cybersecurity,7
E04474,Node.js,2
E04474,NLP,2
E04474,FastAPI,7
E04474,Deep Learning,2
E04474,Frontend Development,6
E04474,React,3
E04474,Computer Vision,9
E03417,HR Management,1
E03417,Django,5
E03417,QA/Testing,10
E03417,Azure,5
E03417,Linux,6
E03417,Cloud Architecture,2
E03417,Cybersecurity,10
E00254,Node.js,9
E00254,Budgeting,10
E00254,Payroll,10
E00254,Accounting,9
E00254,DevOps,1
E00254,Finance,10
E00254,Excel,5
E02166,Budgeting,7
E02166,Finance,2
E02166,Tableau,3
E02166,Financial Modeling,1
E02166,Excel,2
E00935,Project Management,1
E00935,NLP,3
E00935,SEO,3
E00935,Content Strategy,10
E00935,Data Analysis,1
E00935,Network Administration,2
E01525,Data Engineering,10
E01525,Backend Development,8
E01525,Docker,9
E01525,TensorFlow,5
E01525,Kubernetes,1
E01525,LangChain,4
E00386,Node.js,7
E00386,Python,9
E00386,Azure,4
E00386,REST API Design,9
E00386,TensorFlow,9
E00386,Kubernetes,6
E00386,SQL,2
E00416,DevOps,3
E00416,CI/CD,10
E00416,Machine Learning,8
E00416,Kubernetes,6
E00416,React,2
E00416,JavaScript,7
E03383,ETL,2
E03383,Project Management,1
E03383,Data Analysis,5
E03383,Agile,6
E03383,Stakeholder Management,1
E03383,Excel,5
E01516,Recruiting,4
E01516,Linux,3
E01516,HR Management,10
E01234,Payroll,10
E01234,Tableau,6
E01234,Recruiting,6
E01234,Network Administration,3
E01234,Employee Relations,8
E01234,Cloud Architecture,2
E03440,Sales,2
E03440,Network Administration,10
E03440,Azure,10
E03440,Linux,9
E03440,Cloud Architecture,7
E03440,Cybersecurity,8
E00431,TensorFlow,4
E00431,QA/Testing,1
E00431,AWS,7
E00431,Azure,7
E00431,Cloud Architecture,3
E00431,Cybersecurity,6
E01258,Azure,3
E01258,Django,6
E01258,Network Administration,6
E01258,C#,5
E00440,SEO,5
E00440,PostgreSQL,3
E00440,Content Strategy,6
E00440,Data Analysis,2
E00440,Marketing,3
E00440,CRM,6
E00440,JavaScript,5
E00595,Node.js,1
E00595,Budgeting,6
E00595,Spark,5
E00595,Java,3
E00595,Finance,4
E00595,Excel,6
E00972,Budgeting,2
E00972,Accounting,7
E00972,AWS,6
E00972,Azure,7
E00972,React,5
E04562,C#,4
E04562,Negotiation,5
E04562,Account Management,8
E04562,CRM,4
E02802,HR Management,8
E02802,Payroll,6
E02802,Scrum,9
E02802,Recruiting,2
E02802,TensorFlow,9
E02802,Employee Relations,2
E01427,Sales,7
E01427,Account Management,1
E01427,CRM,7
E01427,Machine Learning,9
E01427,Cloud Architecture,6
E04568,Budgeting,8
E04568,PostgreSQL,3
E04568,Finance,8
E04568,Financial Modeling,8
E04568,Excel,10
E04931,DevOps,3
E04931,Recruiting,2
E04931,Network Administration,3
E04931,AWS,1
E04931,Cloud Architecture,1
E00443,Go,5
E00443,Scrum,5
E00443,Machine Learning,2
E00443,Linux,6
E00443,Cloud Architecture,2
E03890,Spark,5
E03890,Sales,5
E03890,PyTorch,5
E03890,QA/Testing,5
E03890,CRM,5
E03890,Negotiation,1
E01194,FastAPI,10
E01194,CRM,6
E01194,Stakeholder Management,3
E01194,SQL,1
E01194,Computer Vision,6
E02875,Azure,4
E02875,Cloud Architecture,1
E02875,MongoDB,4
E04959,HR Management,4
E04959,Backend Development,5
E04959,DevOps,6
E04959,AWS,1
E04959,System Design,6
E03816,HR Management,5
E03816,Spark,3
E03816,Payroll,1
E03816,Recruiting,4
E03816,REST API Design,1
E03816,Cloud Architecture,4
E01261,Django,7
E01261,Stakeholder Management,3
E01261,Project Management,8
E01261,Data Analysis,6
E03612,Budgeting,3
E03612,Sales,1
E03612,Marketing,3
E03612,Recruiting,10
E03612,Financial Modeling,8
E01388,FastAPI,8
E01388,DevOps,6
E01388,Agile,6
E01388,Deep Learning,8
E01388,Frontend Development,2
E01388,AWS,10
E03875,Go,9
E03875,FastAPI,7
E03875,Python,9
E03875,TensorFlow,2
E03875,SQL,5
E04413,Backend Development,8
E04413,DevOps,2
E04413,Deep Learning,6
E04413,AWS,6
E04413,TensorFlow,2
E00691,Finance,3
E00691,Accounting,4
E00691,Budgeting,8
E00691,HR Management,1
E03047,Sales,8
E03047,Account Management,9
E03047,JavaScript,7
E03047,Marketing,7
E04903,LangChain,5
E04903,Tableau,6
E04903,AWS,5
E04903,Azure,2
E04903,Linux,2
E04903,Cloud Architecture,4
E04903,JavaScript,5
E04735,Account Management,4
E04735,Network Administration,6
E04735,Azure,9
E04735,Cloud Architecture,5
E04735,Cybersecurity,2
E02850,Sales,6
E02850,Account Management,1
E02850,CRM,1
E02850,Stakeholder Management,2
E02850,Negotiation,1
E03583,Account Management,7
E03583,Finance,6
E03583,CI/CD,4
E03583,CRM,3
E03583,Negotiation,4
E02017,Employee Relations,10
E02017,Data Engineering,3
E02017,Recruiting,6
E02017,Payroll,6
E01642,CI/CD,2
E01642,Network Administration,1
E01642,AWS,5
E01642,Linux,7
E01642,Cloud Architecture,10
E01642,Cybersecurity,7
E04379,Budgeting,5
E04379,Accounting,8
E04379,REST API Design,1
E04379,Network Administration,2
E04379,Financial Modeling,7
E04131,SEO,3
E04131,Network Administration,3
E04131,Data Analysis,4
E04131,Marketing,3
E02872,Budgeting,9
E02872,Java,5
E02872,FastAPI,10
E02872,Finance,10
E02872,Excel,2
E02331,LangChain,6
E02331,DevOps,8
E02331,Marketing,9
E02331,Network Administration,8
E02331,Deep Learning,3
E02331,Azure,10
E02331,Cloud Architecture,9
E00417,Budgeting,1
E00417,Accounting,6
E00417,Flask,6
E00417,Finance,2
E00417,MongoDB,7
E00417,Tableau,10
E00417,Financial Modeling,5
E00417,Excel,1
E04267,Project Management,6
E04267,PostgreSQL,1
E04267,Network Administration,2
E04267,Deep Learning,1
E04267,AWS,4
E04267,Azure,3
E04267,Linux,4
E04267,Cloud Architecture,2
E03061,SEO,8
E03061,Content Strategy,9
E03061,Data Analysis,6
E03061,Marketing,9
E03061,GCP,6
E03061,Data Engineering,5
E03061,JavaScript,10
E00013,Budgeting,7
E00013,Go,6
E00013,Accounting,3
E00013,System Design,3
E00013,Financial Modeling,1
E00013,Excel,5
E04265,Docker,8
E04265,MongoDB,4
E04265,Deep Learning,4
E04265,Machine Learning,9
E04265,Negotiation,5
E04265,JavaScript,9
E04769,SEO,2
E04769,Content Strategy,7
E04769,TensorFlow,6
E03042,Sales,5
E03042,DevOps,6
E03042,Azure,5
E03042,Kubernetes,1
E03042,Cloud Architecture,2
E00527,Backend Development,6
E00527,System Design,3
E00527,DevOps,1
E01095,Budgeting,9
E01095,Stakeholder Management,8
E01095,C#,3
E01095,Excel,9
E03131,SEO,6
E03131,Python,5
E03131,Docker,10
E03131,Azure,4
E03131,Cloud Architecture,3
E03131,Cybersecurity,10
E01713,Node.js,7
E01713,System Design,4
E01713,SQL,8
E01713,Linux,5
E00128,HR Management,3
E00128,Django,7
E00128,Payroll,5
E00128,Recruiting,2
E00128,RAG,5
E00128,MongoDB,6
E00128,Employee Relations,4
E03849,Sales,5
E03849,Account Management,1
E03849,Marketing,5
E03849,CRM,4
E03849,Negotiation,5
E02464,Budgeting,8
E02464,Go,2
E02464,Docker,4
E02464,Frontend Development,8
E02464,AWS,2
E00306,Content Strategy,4
E00306,Network Administration,10
E00306,Azure,2
E00306,Linux,1
E00306,Cloud Architecture,7
E00306,Cybersecurity,6
E03737,TypeScript,3
E03737,Employee Relations,7
E03737,GCP,6
E03737,HR Management,7
E02783,Sales,1
E02783,Content Strategy,1
E02783,DevOps,5
E02783,Account Management,8
E02783,CRM,9
E02783,LangChain,7
E02939,CI/CD,1
E02939,Recruiting,4
E02939,Frontend Development,4
E02939,Machine Learning,2
E02939,Cybersecurity,2
E02706,Power BI,2
E02706,Linux,1
E02706,DevOps,2
E02706,Machine Learning,5
E00170,Content Strategy,3
E00170,DevOps,3
E00170,Marketing,1
E00170,TypeScript,5
E00170,C++,5
E01425,Node.js,9
E01425,Backend Development,8
E01425,FastAPI,4
E01425,Docker,4
E01425,CI/CD,5
E01425,Deep Learning,3
E01425,Kubernetes,8
E00130,HR Management,2
E00130,Payroll,8
E00130,Recruiting,6
E00130,Employee Relations,2
E00130,Data Engineering,9
E02094,Linux,10
E02094,DevOps,9
E02094,Employee Relations,4
E03567,DevOps,6
E03567,Network Administration,5
E03567,AWS,7
E03567,Azure,8
E03567,Cloud Architecture,9
E03567,Excel,6
E04682,Payroll,4
E04682,Tableau,3
E04682,Recruiting,1
E04682,Deep Learning,5
E04682,Employee Relations,9
E00957,Accounting,8
E00957,Account Management,8
E00957,Recruiting,8
E00957,CRM,3
E00957,Negotiation,6
E04458,Budgeting,1
E04458,Backend Development,1
E04458,Docker,4
E04458,CI/CD,2
E04458,Machine Learning,2
E04458,Linux,1
E01499,Backend Development,8
E01499,Scrum,8
E01499,Frontend Development,1
E01499,AWS,1
E01499,Azure,9
E00521,PostgreSQL,4
E00521,DevOps,10
E00521,Network Administration,9
E00521,AWS,5
E00521,Linux,6
E00521,Cybersecurity,5
E03717,Node.js,8
E03717,Deep Learning,1
E03717,Frontend Development,1
E03717,Machine Learning,3
E03717,Kubernetes,2
E03717,Excel,8
E01533,Backend Development,9
E01533,Sales,10
E01533,Account Management,1
E01533,Negotiation,3
E01533,Cloud Architecture,6
E01533,SQL,1
E04449,Budgeting,7
E04449,C#,3
E04449,Accounting,2
E04449,Frontend Development,9
E04449,Data Engineering,6
E04449,Financial Modeling,1
E04449,Excel,2
E02855,Azure,6
E02855,CI/CD,9
E02855,Java,7
E02855,Cybersecurity,7
E00816,Node.js,2
E00816,DevOps,4
E00816,AWS,3
E00816,Azure,3
E00816,Linux,1
E02283,NLP,2
E02283,Azure,4
E02283,Linux,4
E02283,Cloud Architecture,5
E02283,Cybersecurity,5
E04888,PostgreSQL,10
E04888,DevOps,9
E04888,Frontend Development,3
E04888,AWS,7
E04888,Linux,3
E04888,Cloud Architecture,3
E04888,Excel,5
E04888,Cybersecurity,5
E03907,Budgeting,8
E03907,Accounting,4
E03907,Account Management,8
E03907,Finance,2
E03907,Financial Modeling,3
E02166,Project Management,4
E02166,Sales,8
E02166,Data Analysis,6
E02166,Agile,3
E02166,Data Engineering,7
E02166,Stakeholder Management,6
E02166,Excel,5
E00431,HR Management,4
E00431,Django,8
E00431,Payroll,5
E00431,Recruiting,2
E00431,QA/Testing,7
E00431,Employee Relations,8
E00431,Negotiation,3
E01501,Go,7
E01501,TypeScript,9
E01501,System Design,1
E01501,C++,6
E01501,Linux,9
E01141,Node.js,3
E01141,FastAPI,4
E01141,Account Management,1
E01141,Docker,1
E01141,CRM,1
E01141,Machine Learning,3
E02254,Sales,9
E02254,Account Management,3
E02254,Marketing,6
E02254,CRM,1
E02254,Employee Relations,8
E02254,Negotiation,2
E04504,Payroll,9
E04504,DevOps,8
E04504,CI/CD,6
E04504,Azure,8
E04504,Cybersecurity,2
E03394,C#,9
E03394,Content Strategy,3
E03394,Data Analysis,6
E03394,Marketing,9
E03394,CI/CD,7
E03394,GCP,8
E02942,Django,4
E02942,DevOps,4
E02942,Python,5
E02942,Machine Learning,2
E02942,Kubernetes,2
E02942,SQL,3
E02942,JavaScript,6
E04130,Budgeting,4
E04130,ETL,5
E04130,Accounting,2
E04130,RAG,3
E04130,Financial Modeling,5
E04130,Excel,5
E04130,Cybersecurity,1
E02848,Java,7
E02848,Account Management,10
E02848,AWS,3
E02848,CRM,10
E02848,React,7
E00085,Stakeholder Management,6
E00085,Cybersecurity,1
E00085,Data Analysis,8
E00085,Agile,3
E03956,NLP,10
E03956,Account Management,1
E03956,CRM,4
E03956,Azure,5
E03956,Negotiation,1
E00672,HR Management,1
E00672,Budgeting,8
E00672,Payroll,9
E00672,Spark,4
E00672,C#,7
E00672,Recruiting,2
E00672,Employee Relations,4
E04618,Backend Development,5
E04618,DevOps,4
E04618,Marketing,2
E04618,Network Administration,5
E04618,AWS,2
E04618,Linux,2
E04618,JavaScript,2
E04618,Cybersecurity,1
E03506,HR Management,7
E03506,Payroll,1
E03506,SEO,5
E03506,Recruiting,3
E03506,Employee Relations,3
E00568,Project Management,7
E00568,Sales,8
E00568,Agile,2
E00568,TypeScript,2
E00568,Stakeholder Management,7
E00568,SQL,5
E00535,Spark,2
E00535,Sales,9
E00535,Azure,7
E00535,Cloud Architecture,4
E00535,Negotiation,7
E04630,Java,6
E04630,Content Strategy,1
E04630,Data Analysis,1
E04630,Marketing,2
E04630,Employee Relations,8
E04630,Financial Modeling,1
E00874,SEO,3
E00874,Negotiation,5
E00874,Data Analysis,3
E00874,Marketing,5
E01546,Accounting,5
E01546,Budgeting,4
E01546,JavaScript,7
E00941,DevOps,8
E00941,Finance,1
E00941,CRM,1
E00941,C++,6
E00941,Financial Modeling,2
E00941,Excel,7
E03446,Cybersecurity,3
E03446,React,2
E03446,Data Analysis,4
E03446,Marketing,2
E01361,Backend Development,7
E01361,Marketing,10
E01361,Network Administration,8
E01361,AWS,4
E01361,Cloud Architecture,2
E01361,Cybersecurity,2
E01631,SEO,2
E01631,SQL,4
E01631,Data Analysis,9
E01631,Marketing,5
E03719,SEO,1
E03719,PostgreSQL,4
E03719,Content Strategy,8
E03719,Scrum,7
E03269,Linux,3
E03269,ETL,7
E03269,Frontend Development,10
E03269,AWS,7
E01037,Linux,1
E01037,Deep Learning,4
E01037,Cybersecurity,5
E00671,Linux,4
E00671,DevOps,3
E00671,C#,9
E00671,Cybersecurity,6
E02216,HR Management,1
E02216,DevOps,1
E02216,Docker,6
E02216,Network Administration,2
E02216,AWS,6
E02216,Linux,1
E02216,Cloud Architecture,2
E02216,Negotiation,4
E02803,Recruiting,1
E02803,Content Strategy,6
E02803,Data Analysis,7
E01584,Spark,7
E01584,Recruiting,5
E01584,REST API Design,2
E01584,TensorFlow,3
E01584,Employee Relations,2
E02489,Recruiting,3
E02489,React,3
E02489,Spark,1
E02489,HR Management,9
E03189,Sales,3
E03189,Network Administration,4
E03189,CRM,9
E03189,TensorFlow,1
E03189,Negotiation,7
E03560,Spark,4
E03560,Sales,5
E03560,Negotiation,10
E03560,CRM,5
E00769,Cloud Architecture,7
E00769,SQL,1
E00769,Frontend Development,4
E00769,AWS,9
E02791,TypeScript,8
E02791,Negotiation,1
E02791,CRM,3
E02333,Go,3
E02333,DevOps,7
E02333,Azure,2
E02333,Linux,10
E02333,Cloud Architecture,10
E02333,Cybersecurity,1
E01002,System Design,2
E01002,Sales,2
E01002,Account Management,5
E01002,CRM,1
E03520,SEO,6
E03520,Content Strategy,4
E03520,Data Analysis,8
E03520,Go,5
E00752,NLP,4
E00752,Account Management,6
E00752,CRM,7
E00233,Content Strategy,1
E00233,Power BI,4
E00233,Azure,1
E00233,Linux,7
E00233,Cloud Architecture,7
E00233,SQL,2
E02639,SEO,2
E02639,Sales,10
E02639,Spark,10
E02639,Marketing,5
E00697,Azure,2
E00697,LangChain,6
E00697,Network Administration,2
E00697,Payroll,1
E02183,Sales,5
E02183,Account Management,8
E02183,Negotiation,3
E02183,CRM,1
E02183,SQL,10
E00715,Backend Development,9
E00715,CI/CD,4
E00715,Deep Learning,9
E00715,Negotiation,1
E00715,Machine Learning,7
E00715,Kubernetes,6
E00715,React,8
E04288,Backend Development,5
E04288,Python,2
E04288,Tableau,2
E04288,React,1
E04288,SQL,2
E04288,JavaScript,6
E02421,FastAPI,10
E02421,DevOps,6
E02421,SQL,6
E02421,Docker,10
E00523,Java,1
E00523,Data Analysis,2
E00523,Docker,1
E00523,Network Administration,4
E00523,AWS,10
E00523,Cloud Architecture,4
E03615,Node.js,6
E03615,FastAPI,1
E03615,AWS,1
E03615,Kubernetes,3
E03615,Cloud Architecture,10
E02761,Payroll,6
E02761,Power BI,5
E02761,Employee Relations,6
E02761,JavaScript,3
E02761,Computer Vision,3
E02121,Content Strategy,3
E02121,Sales,2
E02121,CRM,2
E02121,MongoDB,1
E02121,Negotiation,5
E01486,Data Engineering,2
E01486,Stakeholder Management,4
E01486,Project Management,6
E01486,Excel,6
E00725,Sales,2
E00725,Account Management,6
E00725,CRM,5
E00725,Marketing,2
E03027,Budgeting,8
E03027,Account Management,4
E03027,Negotiation,3
E03027,CRM,8
E03027,React,2
E03027,Computer Vision,1
E03689,Tableau,2
E03689,Data Analysis,6
E03689,Excel,10
E03689,Agile,10
E01986,Linux,4
E01986,QA/Testing,7
E01986,Cybersecurity,9
E01286,Python,2
E01286,Docker,5
E01286,Flask,10
E01286,Frontend Development,8
E01286,AWS,4
E01286,System Design,2
E01409,C#,5
E01409,Deep Learning,2
E01409,AWS,9
E01409,C++,7
E01409,TensorFlow,3
E01409,System Design,6
E00626,Budgeting,3
E00626,Sales,5
E00626,Finance,4
E00626,Financial Modeling,5
E00626,Excel,2
E04342,SEO,1
E04342,Content Strategy,9
E04342,Data Analysis,9
E04342,Marketing,3
E04342,Frontend Development,2
E04342,Cybersecurity,8
E03904,Node.js,3
E03904,Payroll,10
E03904,Docker,5
E03904,Finance,6
E03904,Financial Modeling,2
E01291,Project Management,4
E01291,Sales,1
E01291,Account Management,4
E01291,Power BI,2
E01291,CRM,2
E01291,C++,5
E01291,Negotiation,5
E00917,FastAPI,8
E00917,Linux,8
E00917,React,1
E00917,JavaScript,3
E01484,Marketing,8
E01484,CI/CD,5
E01484,TensorFlow,6
E01484,Cloud Architecture,1
E01484,Cybersecurity,6
E03864,Budgeting,2
E03864,Accounting,4
E03864,Account Management,8
E03864,TypeScript,4
E03864,Financial Modeling,7
E00488,Sales,2
E00488,Negotiation,1
E00488,Account Management,2
E00488,Docker,1
E02227,DevOps,1
E02227,Account Management,4
E02227,RAG,6
E02227,AWS,8
E02227,Azure,10
E02227,System Design,8
E02227,Cloud Architecture,3
E04802,Sales,10
E04802,Financial Modeling,4
E04802,Account Management,4
E04802,CRM,4
E01970,HR Management,3
E01970,Payroll,5
E01970,Python,3
E01970,DevOps,3
E01970,Finance,4
E01970,Recruiting,4
E02813,Node.js,2
E02813,FastAPI,8
E02813,Sales,2
E02813,Python,6
E02813,Data Analysis,5
E02813,TensorFlow,6
E02813,Data Engineering,5
E02813,React,5
E02031,Node.js,7
E02031,Python,7
E02031,Frontend Development,7
E02031,AWS,1
E02031,MongoDB,10
E02031,System Design,10
E02031,SQL,4
E03252,Budgeting,3
E03252,Flask,5
E03252,Finance,9
E03252,Financial Modeling,3
E03252,Excel,6
E03252,Computer Vision,2
